#Input-Category	Input-Item-ID	Input-Amount	Output-Category	Output-Item-ID	Output-Amount	Action-Cost
#Category- and Item-IDs should be matching the IDs in the items.txt file
0	0	100	0	1	10	1
0	0	1000	0	1	105	1
0	1	50	0	2	10	1
0	1	500	0	2	105	1
0	2	50	3	2	51	1
0	2	50	0	3	10	1
1	0	100	1	1	10	1
1	0	1000	1	1	105	1
1	1	50	1	2	10	1
1	1	500	1	2	105	1
1	2	50	11	2	51	1
1	2	50	1	3	10	1
1	3	25	1	4	5	1
2	0	100	2	1	10	1
2	0	1000	2	1	105	1
2	1	50	2	2	10	1
2	1	500	2	2	105	1
2	2	50	9	2	51	1
2	2	50	2	3	10	1
2	3	25	2	4	5	1
2	4	7	2	5	1	1
3	0	50	3	1	10	1
3	0	500	3	1	105	1
3	1	50	3	2	10	1
3	1	500	3	2	105	1
3	2	50	6	4	51	1
3	2	50	3	3	10	1
3	3	25	3	4	5	1
4	0	24	4	1	6	1
4	0	200	4	1	53	1
4	1	25	4	2	10	1
4	1	250	4	2	105	1
4	2	50	5	2	51	1
4	2	50	4	3	10	1
4	3	25	4	4	5	1
5	0	100	5	1	10	1
5	0	1000	5	1	105	1
5	1	50	5	2	10	1
5	1	500	5	2	105	1
5	2	50	1	2	51	1
5	2	50	5	3	10	1
5	2	1	6	1	25	0
5	3	25	5	4	5	1
5	5	5	5	6	1	1
6	0	500	6	1	200	1
6	1	50	6	2	7	1
6	1	500	6	2	70	1
6	2	33	6	3	10	1
6	2	333	6	3	105	1
6	2	33	6	4	10	1
6	2	333	6	4	105	1
6	4	50	4	2	51	1
6	3	50	10	2	51	1
6	3	50	6	5	10	1
6	4	50	6	5	10	1
6	5	25	6	6	5	1
7	0	50	7	1	10	1
7	0	500	7	1	105	1
7	1	50	7	2	10	1
7	1	500	7	2	105	1
7	2	50	2	2	51	1
7	2	50	7	3	10	1
7	3	25	7	4	5	1
7	5	1	9	3	25	0
8	0	100	8	1	10	1
8	0	1000	8	1	105	1
8	1	50	8	2	10	1
8	1	500	8	2	105	1
8	2	50	6	3	51	1
8	2	50	8	3	10	1
8	3	25	8	4	5	1
9	0	25	9	1	10	1
9	0	250	9	1	105	1
9	1	50	9	2	10	1
9	1	500	9	2	105	1
9	2	50	0	2	51	1
9	2	50	9	3	10	1
9	3	25	9	4	5	1
10	0	50	10	1	10	1
10	0	500	10	1	105	1
10	1	50	10	2	10	1
10	1	500	10	2	105	1
10	2	50	7	2	51	1
10	2	50	10	3	10	1
10	3	25	10	4	5	1
11	0	50	11	1	10	1
11	0	500	11	1	105	1
11	1	50	11	2	10	1
11	1	500	11	2	105	1
11	2	50	8	2	51	1
11	2	50	11	3	10	1
11	3	25	11	4	5	1
12	0	1	7	3	625	0
13	0	1	10	0	2000	0
